"State","Count","Name","Id","Chief Functionary","Chairman","Promoter Name 1","Promoter Name 2","Promoter Name 3","Promoter Name 4","Secretary","Treasurer","Umbrella-Parent Organisation","Registered","Type","Registration No","Date of Registration","City of Registration","Registration Certificate URL","FCRA Registration No","Key Issues","Operational Area-States","Operational Area-District","Major Activities-Achievements","City","Mobile Number","Email","Fax Number","Address","Phone number","Sectors Working In",,,,,"Website URL"
"Andhra Pradesh",2223,"AAKRUTHI","AP/2009/0019270","KISHORE RAVIPATI","KALYAN CHAKRAVARTHY",,,,,"G S RAO","A SUNITHA","AAKRUTHI","Registrar of Cooperative Societies","Society","8132/99",17/11/1999,"Hyderabad","http://ngo.india.gov.in/ngo/aakruthiap.jpg",,"Animal Husbandry, Dairying & Fisheries, Agriculture, Biotechnology, Drinking Water, Education & Literacy, Environment & Forests, Food Processing, Health & Family Welfare, Information & Communication Technology, Labour & Employment, Land Resources, Micro Small & Medium Enterprises, New & Renewable Energy, Panchayati Raj, Rural Development & Poverty Alleviation, Science & Technology, Water Resources, Women's Development & Empowerment","Andhra Pradesh, Chhattisgarh, Karnataka, Madhya Pradesh, Orissa","Anantapur, Chittoor, Cuddapah, Hyderabad, Khammam, Kurnool, Mahabubnagar, Medak, Rangareddy, Korba, Mahasamund, Raipur, Surguja, Belgaum, Bellary, Bidar, Gadag, Gulbarga, Raichur, Bhopal, Sehore, Cuttack","AAKRUTHI is a civil society organization registered under societies act, established in Hyderabad. AAKRUTHI is composed of a group of professionals in Agriculture, Rural development, Natural resource management, Micro finance and Bankers along with a committed and well trained human force having a common dream of strengthening Indian rural scenario through â€œTransforming indian agriculture through integration of value chains, technology dissemination, empowered community and natural resource managementâ€ i.e., â€œ Providing support servicesâ€ i.e., providing all required support services and hand holding the rural communities in terms of agriculture, agri business, natural resource management, livelihood development (farm and non farm), financial inclusion, creation of backward and forward linkages The core areas of organization work includes .. â€¢ Agribusiness systems and value chain development â€¢ Sustainable agriculture and livelihoods â€¢ Farm technology dissemination â€¢ Enterprise development â€¢ Natural resource management â€¢ Organic farming and crop diversification â€¢ Financial inclusion â€¢ Community empowerment â€¢ Water and sanitation â€¢ Consultancy and Field studies Projects handling National Agriculture Innovation Project (NAIP), by CRIDA and World Bank Seed business incubation â€“ ABI â€“ ICRISAT and Department of Science and Technology (DST) Entire Andhra Pradesh AP Community based tank management project by World Bank and Govt of AP Popularisation of ICGV91114 variety â€“ ICRISAT Sweet sorghum production area development and providing Agriculture extension services by RUSNI DISTILLARIES Participatory varietals trails by IFAD and ICRISAT Training and capacity building on organic farming by ALEAP (Association of lady entrepreneurs of AP) Baseline survey of NAIP project in AP Pilot survey-Test bed villages on â€œ Water and Sanitation cost and facilities Campaigning on â€œ Pros and Cons of Biotechnology in Agriculture and Allied sectorâ€ along with Agri Biotech Foundation (ABF) Agriculture Support Services to ADB supported Chhattisgarh Irrigation Development Project Impact Assessment of Watershed project at Kadapa District, AP Impact Assessment Studies of Water Shed projects of Western MP","Hyderabad",,"aakruthi.org@gmail.com",,"AAKRUTHI 6-3-903/A/3 II floor SURYANAGAR COLONY RAJBHAVAN ROAD HYDERABAD 500082","040-66737672","Animal Husbandry, Dairying & Fisheries, Agriculture, Biotechnology, Drinking Water, Education & Literacy, Environment & Forests, Food Processing, Health & Family Welfare, Information & Communication Technology, Labour & Employment, Land Resources, Micro Small & Medium Enterprises, New & Renewable Energy, Panchayati Raj, Rural Development & Poverty Alleviation, Science & Technology, Water Resources, Women's Development & Empowerment",,,,,
"Andhra Pradesh",2223,"AARAMBH ASSOCIATION FOR AUTISM","AP/2010/0037844","Mrs Sharada Ram J","Mrs Sharda Ram J",,,,,"Mr Srinivasulu P","Mr JVR Mohan Rao","Karwani Islami","Registrar of Societies","Society","270/2010",26/03/2010,"HYDERABAD","http://ngo.india.gov.in/ngo/cb396712deefeae6d97feeda1fe159d2.society.jpg",,"Differently Abled","Andhra Pradesh","Hyderabad","We have gathered some mothers having children with autism(Differently abled), professionals and registered the association. We have successfully implemented the fee structure according to the income standards of the parents.We have started conducting workshops in several research centres and hospitals to create awareness on autism.","HYDERABAD",9618076870,"aarambhhyd@gmail.com",,"Aarambh Association for Autism, 8-3-966/27,Behind Ameerpet-Kammasangam, Nagarjuna nagar,Yellareddy guda, HYDERABAD-500 073.","040-23525205","Differently Abled",,,,,
"Andhra Pradesh",2223,"AAROHAN FOUNDATION","AP/2010/0025632","Ms Vandana Jha","Ms Vandana Jha",,,,,,,"Karwani Islami","Sub-Registrar","Trust","632-2006-Bk-4",25/11/2006,"Hyderabad","http://ngo.india.gov.in/ngo/aarohan_foundation.jpg",,"Art & Culture, Children, Differently Abled, Education & Literacy, HIV/AIDS, Information & Communication Technology, Labour & Employment, Micro Finance (SHGs), Micro Small & Medium Enterprises, New & Renewable Energy, Rural Development & Poverty Alleviation, Science & Technology, Urban Development & Poverty Alleviation, Vocational Training, Women's Development & Empowerment, Youth Affairs","Andhra Pradesh, Bihar, Delhi, Orissa",,"Overview on Aarohan Foundation: Conceptualized and founded by a group of alumni from IITs and IIMs, Aarohan Foundation is a non-profit organisation working in the areas of education and livelihoods for the underserved .It has an advisory council of leading Global executives having work experience in varied areas like project management, IT outsourcing, sales and marketing, finance, human resources, training and development etc. Aarohan provides livelihood solutions for different target groups like women, differently abled, PLHAs, etc. by empowering through skill building and handholding which are crucial for converting micro credit into micro-enterprise. Aarohans focus is on vocational education, and Micro enterprise development at grass root level. It has its presence in Hyderabad, Bhubaneswar, Bihar and Delhi and works in alliance with Government, NGOs and the pool of volunteers and donors. Some of its achievements: 1. Vocational training for the youth â€“ IT School Bhubaneswar The objective is to give vocational training for employment self-employment for unprivileged students. It imparts a combination of computer basics, typing, Spoken English, Personality Development after which students are placed in various sectors (Computer Center, Pharmacy, Retail, Corporate Sector, etc) or opt for higher studies. 2. Micro enterprise creation: Aarohan Foundation held awareness sessions and has conducted a Business Plan Competition at Hyderabad for PWDs (persons with disability) as the part of Abilities Mela 2009 to encourage the spirit of entrepreneurship and channel it through creation of micro enterprise. Some e.g.: â€¢ Aarohan has set up a shoemaking unit for group of differently abled, rehabilitated from the begging profession and has provided machines, and other support. â€¢ A tailoring unit for women â€¢ A coin box and bike repair shop for PWD â€¢ Microfinance: In addition to the skill building and venture management support Aarohan also provides financial and raw material support to micro enterprise in chosen cases. â€¢ Marketing support: Aarohan gives market linkage for products made by various vulnerable groups. It does through periodic exhibitions and corporate orders for their products and an e-mart is to start soon. 3. Women Empowerment: Aarohan works for empowering women by skill building, awareness and market linkage in areas like Jute bag making, tailoring, Zardosi and embroidery work for groups of women from various underserved communities in and around Hyderabad, leading to typical income enhancement from about Rs.1500 to about Rs.3000 per month. 4. Rural development: 1. Vocational training for youth and women. 2. School education at village level, currently in Bihar. 5. Children: Education and livelihood support for children of various categories like Orphans, Street children, Children from juvenile home, etc. Aarohan Foundation is working in juvenile homes of Hyderabad to facilitate skill building programs like art, craft, personality development, computer basics and other relevant skills and also organize trainings for instructors for skill up â€“ gradation.","Hyderabad",9849031841,"vandanajha.jha@gmail.com",,"Aarohan Foundation, First floor, 8-2-120-77A, Road No. 2, Banjara Hills,","040-23546894","Art & Culture, Children, Differently Abled, Education & Literacy, HIV/AIDS, Information & Communication Technology, Labour & Employment, Micro Finance (SHGs), Micro Small & Medium Enterprises, New & Renewable Energy, Rural Development & Poverty Alleviation, Science & Technology, Urban Development & Poverty Alleviation, Vocational Training, Women's Development & Empowerment, Youth Affairs",,,,,"http://www.aarohanfoundation.org"
"Andhra Pradesh",2223,"AARTHI","AP/2009/0000930","S N RAJA","S N RAJA",,,,,"G L RAMESH","M V V PADMAVATHI","Karwani Islami","Registrar of Societies","Society","136/1989",29/03/1989,"ELURU","http://ngo.india.gov.in/ngo/aarthirjy.jpg",10180234,"Children, Differently Abled, Disaster Management, Drinking Water, Education & Literacy, Health & Family Welfare, HIV/AIDS, Nutrition, Rural Development & Poverty Alleviation, Science & Technology, Tribal Affairs, Urban Development & Poverty Alleviation, Vocational Training, Women's Development & Empowerment","Andhra Pradesh",,"RUNING 10 BEDED HOSPITAL FOR HIV/AIDS PATIENTS,MOBILE MEDICLAL HOSPITAL AT TRIBAL AREA, URBAN HEALTH CENTERS AT URBAN SLUMS,DISABLED EMPOWER PROGRAMME AT URBAN AREAS,VOCATIONAL TRAININGS,INCOME GENERATION PROGRAMMES, DISASTER MANAGEMENT Etc.","RAJAHMUNDRY",9397918383,"aarthirjy@yahoo.co.in",,"Admin office Door No:78-16-15/1, Syamala Nagar RAJAHMUNDRY - 533103","0883-2438383","Children, Differently Abled, Disaster Management, Drinking Water, Education & Literacy, Health & Family Welfare, HIV/AIDS, Nutrition, Rural Development & Poverty Alleviation, Science & Technology, Tribal Affairs, Urban Development & Poverty Alleviation, Vocational Training, Women's Development & Empowerment",,,,,"http://aarthi.org"
"Andhra Pradesh",2223,"AASHRAY","AP/2009/0015197","Dr P Hanumantha Rao","Dr P Hanumantha Rao","Dr Rajendra Singh","Promoter Name 2","Dr Rajendra Singh","Dr B Keshava Rao","Dr P Nirmala Rao","Dr D Padmanabham","Karwani Islami","Registrar of Societies","Society","6423/1999",09/09/1999 00:00,"Hyderabad","http://ngo.india.gov.in/ngo/aashray.jpg",10230621,"Education & Literacy, Rural Development & Poverty Alleviation","Andhra Pradesh","Hyderabad","To establish, maintain , run, develop, improve, extend, grant, donate for aid in the establishment maintenance improvement and extension of schools, colleges, polytechnics and other educational institutions, including Vocationakl Training centres, Research Centre foundation & Adult Education Centres, Hostel for students persuing their studies, medical relief, relief of the poor, rural development etc.","Secunderabad",,"sweekaar@gmail.com","040-27810731","15, Sarvasukhi Colony, West Maredpally, Secunderabad-500026, Andhra Pradesh","040-27843338","Education & Literacy, Rural Development & Poverty Alleviation",,,,,"http://www.sweekaar.org"
"Andhra Pradesh",2223,"AASHRITHA AMRUTHAVARSHINI WELFARE ASSOCIATION","AP/2009/0020467","Kandregula Jagadeesh","Kandregula Jagadeesh","Vailada Veera Venkata Satya Narayana","Promoter Name 2","Addanki Naga Raju","Manapuram Madhu Sudhana Rao","Peyyala Ganaga Ramjee","Balla Srinivasa Rao","OperationTargetTwnetTwenty","Registrar of Societies","Society","288/2009",04/08/2009 00:00,"Visakhapatnam","http://ngo.india.gov.in/ngo/aawa288.jpg",,"Children, Education & Literacy, Health & Family Welfare, Information & Communication Technology, Legal Awareness & Aid, Rural Development & Poverty Alleviation, Urban Development & Poverty Alleviation, Vocational Training, Women's Development & Empowerment, Youth Affairs, Any Other","Andhra Pradesh","East Godavari, Visakhapatnam","From 2005 onwards i am starting the activities in my school where i last studied. I am fully concentrating on career guidence. I am interacting with scholl chidren and identfying their nees and support them in the form of books, unforms and other competative exams material. On sunday we are conducting private classes to the interested students to reach their goal. My goal is to get hundred percent literacy in the mandal before 2020. around 500 students are got benified from our society.","Visakhapatnam",9849210417,"contact@aawa.org.in",,"AASHRITHA AMRUTHAVARSHINI WELFARE ASSOCIATION (Reg. No : 288/2009) D.No:4â€“27, Balla Street, Vepagunta, GVMC, Visakha District, Andhra Pradesh, Pin:530047 Cotact Number : 9849210417","0891-2712390","Children, Education & Literacy, Health & Family Welfare, Information & Communication Technology, Legal Awareness & Aid, Rural Development & Poverty Alleviation, Urban Development & Poverty Alleviation, Vocational Training, Women's Development & Empowerment, Youth Affairs, Any Other",,,,,"http://aawa.org.in"
"Andhra Pradesh",2223,"AATHMEEYA MANASIKA VIKASA KENDRAM","AP/2009/0006282","K N A R A S I M H A R A O","Sri V V N Simha Rao",,,,,"Smt L Nirmala","Smt P Padma","Karwani Islami","Registrar of Societies","Society","828/97",19/02/1997,"Hyderabad","http://ngo.india.gov.in/ngo/Aathmeeya.pdf","010230382 / 5.08.1998","Differently Abled","Andhra Pradesh","Hyderabad","Running Special school and Vocational training Centre for the welfare of the Mentally Challenged Children since 1993 and organising Inter Dist school Sports and cultural competitions for mentally challenged children from last 13years.","Hyderabad",9848468782,"aathmeeya2003@yahoo.co.in","040-27014266","12-13-830/15, Street No.1 Tarnaka, Secunderabad,Hyderabad Dist. pin code: 500 017 Andhra Pradesh","040-27014266","Differently Abled",,,,,"http://www.aathmeeya.com"
"Andhra Pradesh",2223,"ABDUL RAHAMAN FOUNDATION","AP/2009/0000419","MOHAMMED ZAHEER BANDA",,,,,,,,"Karwani Islami","Registrar of Societies","Trust",509,14/11/1995,,,,"Aged/Elderly, Education & Literacy, Health & Family Welfare, HIV/AIDS, Micro Finance (SHGs), Rural Development & Poverty Alleviation, Vocational Training, Water Resources",,,"Conducted various medical camps.like Dental,eye care.AIDS awareness campaigns etc",,9885929875,"zaheerrahaman@hotmail.com",,"MOHAMMED ZAHEER ABDUL RAHAMAN FOUNDATION CHINAMATLAPUDI VILL & POST NIZAMPATNAM VIA GUNTUR DIST, ANDHRA PRADESH PIN 522314","08643-258186","Aged/Elderly, Education & Literacy, Health & Family Welfare, HIV/AIDS, Micro Finance (SHGs), Rural Development & Poverty Alleviation, Vocational Training, Water Resources",,,,,
"Andhra Pradesh",2223,"ABHAY GAU SEVA SANSTHAN","AP/2009/0014586","social service on animals","jetender",,,,,"shailender prakash","treasurer","Karwani Islami","Registrar of Societies","Society","THREE HUNDRED AND ELEVEN",29/05/2006,"sangareddy","http://ngo.india.gov.in/ngo/A.G.S.S.JPG",,"Environment & Forests","Andhra Pradesh","Medak","We work on cruelties done to animals & birds rescue any animal ans creating awareness among people to protect our animal kingdom by means of lectures articles,film,video and rallies.And to rescue the abandone cattles and shelter them with food and medical facility.to stop the illegal slaughters done all overand create communals harmony among the people and national integration. we take legal action against the offenders p c a Act","Hyderabad",9396884622,"raj_farriera@yahoo.co.in","040-24763173","H.off: 16-9-330/a, Kagazkarkhana, Oldmalakpet, Hyderabad - 5000-36","040-24544173","Environment & Forests",,,,,
"Andhra Pradesh",2223,"ABHAYA FOUNDATION","AP/2009/0000698","BALACHANDRA SUNKU","BALACHANDRA SUNKU","SUNKU NARAYANA RANGAIAH","Promoter Name 2","K.R.RAVI","A.MOHANGUPTA","AV SATHISH KUMAR","SV Hari Prasad","Karwani Islami","Registrar of Societies","Trust","463/IV/2006",09/07/2006 00:00,"HYDERABAD","http://ngo.india.gov.in/ngo/abhayafoundation.pdf",,"Children, Education & Literacy, Health & Family Welfare, Rural Development & Poverty Alleviation, Youth Affairs, Any Other","Andhra Pradesh",,"abhaya though established about 3 years back, it strived hard to motivate and inspire well settled people in and around the state of AP. Accordingly it made little difference to the scores of people in their lives. abhay is instrumental in rejuvenating old digiested temple at Kadavakolanu with the help of families of trust members, later it created Computer Lab at Saraswathy Viday Mandir,Tadpathri to provide computer education to the kids from class 1 to 10 with an offordable fee of Re.1/- day. abhaya also cared 4 orphan grils. it is at present caring and mentoring almost 50 students belong to different cariculams helping them not only financially but also morally to make them as good citizens of this country. there are insatnces where abhaya was instrumental in saving the lives of many by standing beside them with financial support when their lives are threat. more details in site updated from time to time","HYDERABAD",9963002727,"sevak@abhayafoundation.org",,"CS.BALACHANDRA SUNKU ABHAYA, 6-3-609/140/1 ANANDANAGAR KHAIRATHABAD","040-23393654","Children, Education & Literacy, Health & Family Welfare, Rural Development & Poverty Alleviation, Youth Affairs, Any Other",,,,,"http://abhayafoundation.org"
